from,to,cost
1014861,1018122,3588.58
1014861,1018301,4356.17
1014861,1018302,3825.74
1014861,1018311,4356.17
1014861,1018312,4846.59
1014861,1018441,3690.04
1014861,1018442,3825.74
1014861,1018451,3690.04
1014861,1018452,3476.6
1014861,1018721,3825.74
1014861,1018722,3570.43
1014861,1018731,3825.74
1014861,1018732,4300.42
1014861,1018891,3427.85
1014861,1018892,3570.43
1014861,1018901,3001.2
1014861,1018902,3542.8
1014861,1019451,3427.85
1014861,1019452,3542.8
1014861,1019461,3570.43
1014861,1019462,4036.42
1014861,1019761,4858.84
1014861,1019762,4300.42
1014861,1020361,4300.42
1014861,1020362,4036.42
1014861,1020371,4300.42
1014861,1020372,4645.61
1014861,1020561,3542.8
1014861,1020562,3793.84
1014861,1020571,3542.8
1014861,1020572,3680.01
1014861,1020821,4036.42
1014861,1020822,3793.84
1014861,1020831,4036.42
1014861,1020832,4756
1014861,1021601,3680.01
1014861,1021602,3588.58
1014861,1021781,3588.58
1014861,1021782,3884.7
1014861,1058031,301.768
1014861,1058032,301.768
1014861,1058051,3329.27
1014861,1058052,3690.04
1014862,1014661,922.543
1014862,1014662,834.104
1014862,1014861,664.187
1014862,1014862,0
1014862,1014871,664.187
1014862,1014872,834.104
1014862,1014971,553.995
1014862,1014972,553.995
1014862,1015901,834.104
1014862,1015902,722.027
1014862,1016041,3965.45
1014862,1016042,3929.4
1014862,1016111,1521.16
1014862,1016112,1954.99
1014862,1016191,950.742
1014862,1016192,553.995
1014862,1016201,950.742
1014862,1016202,1553.74
1014862,1016261,722.027
1014862,1016262,553.995
1014862,1016811,2952.49
1014862,1016812,3491.3
1014862,1017341,3758.7
1014862,1017342,3491.3
1014862,1017351,3758.7
1014862,1017352,3929.4
1014862,1017391,2378.71
1014862,1017392,1954.99
1014862,1017411,2890.66
1014862,1017412,2992.43
1014862,1017441,1954.99
1014862,1017442,1553.74
1014862,1017451,1954.99
1014862,1017452,2452.55
1014862,1017531,3491.3
1014862,1017541,3491.3
1014862,1017542,3074.28
1014862,1017551,1553.74
1014862,1017552,1772
1014862,1017911,3929.4
1014862,1017912,4029.09
1014862,1018111,1772
1014862,1018112,2452.55
1014862,1018121,1772
1014862,1018122,3161.4
1014862,1018301,3717.06
1014862,1018302,3219.04
1014862,1018311,3717.06
1014862,1018312,4224.76
1014862,1018441,3074.28
1014862,1018442,3219.04
1014862,1018451,3074.28
1014862,1018452,2890.66
1014862,1018721,3219.04
1014862,1018722,2992.43
1014862,1018731,3219.04
