IDXNAME,LINK_ID,TLINKIDP1,TLINKIDN1,ST_ND_ID,ED_ND_ID,LENGTH,ST_DIR,ED_DIR,ROAD_CATE,ROADLEVEL,ROADSTATE,LINK_CATE,LINK_FACIL,ROAD_NO,ONEWAY,LANE,SPEEDLH,LEVELCODE,MEDIANST,BLANEST,DAY_TIME,SATDAY_TM,SUNDAY_TM,REGIONCD,TOLLLINK,GUIDEINFO1,GUIDEINFO2,DIR_ANGLE,ROAD_EXCLU,WEIGHT,HEIGHT,WIDTH,KIND,MULTI,MODIFIED,KEY,KS1,KS2
55380000,10036,3402841,3402842,3656,6896,11,19,199,2,2,2,1,0,4,0,6,70,1,0,0,00002400,00002400,00002400,05,0,,,0,0,40.0,4.50,3.30,,,0,55380000_3656_6896,1860337500,1860337200
55380000,10037,3402842,3402841,6436,6896,8,199,19,2,2,2,1,0,4,0,6,70,1,0,0,00002400,00002400,00002400,05,0,,,0,0,40.0,4.50,3.30,,,0,55380000_6436_6896,1860337200,1860337500
55380000,10069,10419112,10419111,205,6918,472,214,21,7,7,2,1,0,0,0,2,30,2,0,0,00002400,00002400,00002400,05,0,,,0,0,,,,,,0,55380000_205_6918,,
55380000,10070,10419111,10419112,2558,6918,56,21,201,7,7,2,1,0,0,0,2,30,2,0,0,00002400,00002400,00002400,05,0,,,0,0,,,,,,0,55380000_2558_6918,,
55380000,10072,3403051,3403052,806,6921,219,278,164,6,6,2,1,0,0,0,4,50,2,0,0,00002400,00002400,00002400,05,0,,"0/0/0/1,2/0/2",0,0,,,,,,0,55380000_806_6921,1860336301,1860336202
55380000,10073,3403052,3403051,2613,6921,47,160,340,6,6,2,1,0,0,0,4,50,2,0,0,00002400,00002400,00002400,05,0,,"0/0/0/1,2/0/2",0,0,,,,,,0,55380000_2613_6921,1860336202,1860336301
55380000,10131,3402631,3402632,440,6956,372,156,336,5,5,2,1,0,0,0,6,50,2,1,0,00002400,00002400,00002400,05,0,,"1/1/0/2,3,4/0/0/1,0",0,0,40.0,4.40,3.30,,,0,55380000_440_6956,1860633000,1860632900
55380000,10132,3402632,3402631,944,6956,46,336,156,5,5,2,1,0,0,0,6,50,2,1,0,00002400,00002400,00002400,05,0,,"1/1/0/1,2,3,4/0/0/1,0",0,0,40.0,4.40,3.30,,,0,55380000_944_6956,1860632900,1860633000
55380000,10143,10419302,10419301,318,6965,30,328,148,8,8,2,1,0,0,0,1,30,2,0,0,00002400,00002400,00002400,05,0,,,0,0,,,,,,0,55380000_318_6965,,
55380000,10144,10419301,10419302,325,6965,32,148,328,8,8,2,1,0,0,0,1,30,2,0,0,00002400,00002400,00002400,05,0,,,0,0,,,,,,0,55380000_325_6965,,
55380000,10205,3403101,,6346,7006,155,75,255,2,2,2,2,0,4,3,4,60,1,0,2,07000900,00000000,18002000,05,0,,,0,0,32.4,4.40,3.20,,,0,55380000_6346_7006,1850004800,
55380000,10206,,3403101,6347,7006,42,255,75,2,2,2,2,0,4,4,4,60,1,0,2,07000900,00000000,18002000,05,0,,,0,0,32.4,4.40,3.20,,,0,55380000_6347_7006,,1850004800
55380000,10233,3402642,,2207,7026,41,252,69,2,2,2,2,0,4,3,4,60,1,1,2,07000900,00000000,18002000,05,0,,,0,0,32.4,4.40,3.20,,,0,55380000_2207_7026,1850006001,
55380000,10234,,3402642,6357,7026,93,69,249,2,2,2,2,0,4,4,4,60,1,1,2,07000900,00000000,18002000,05,0,,"1/1/0/2,3,4,5/0/0/1,0",0,0,32.4,4.40,3.20,,,0,55380000_6357_7026,,1850006001
55380000,1028,3403152,3403151,117,1082,103,225,36,2,2,2,1,0,4,0,4,60,1,1,0,00002400,00002400,00002400,05,0,,,0,0,40.0,4.50,3.30,,,0,55380000_117_1082,1860001304,1860001404
55380000,1033,3389401,3389402,739,819,122,87,267,6,6,2,1,0,0,0,4,30,2,0,0,00002400,00002400,00002400,05,0,"0/1/0/2/0/3/1,0","0/0/0/1,2/0/2",0,0,,,,,,0,55380000_739_819,1850028600,1850028700
